DATE,ACMTP10
1978-02-28,2.0378502189
1978-03-31,2.0079396039
1978-04-28,1.9912534717
1978-05-31,1.9657713058
1978-06-30,2.0029945199
1978-07-31,1.962920477
1978-08-31,1.7794333208
1978-09-29,1.637957386
1978-10-31,1.7427385468
1978-11-30,1.4304614569
1978-12-29,1.4473451722
1979-01-31,1.4621397541
1979-02-28,1.6441489503
1979-03-30,1.6589870716
1979-04-30,1.7673463047
1979-05-31,1.6515004536
1979-06-29,1.6403870033
1979-07-31,1.634546736
1979-08-31,1.5773807524
1979-09-28,1.5341252033
1979-10-31,1.6866786753
1979-11-30,2.1612782999
1979-12-31,2.179041141
1980-01-31,2.9238002714
1980-02-29,2.7322506436
1980-03-31,2.5375054792
1980-04-30,3.2382279586
1980-05-30,3.9650479052
1980-06-30,3.3165144917
1980-07-31,3.6956631448
1980-08-29,2.8294819358
1980-09-30,3.4071903332
1980-10-31,3.2080052113
1980-11-28,2.527374655
1980-12-31,2.7107155978
1981-01-30,2.7638189194
1981-02-27,3.403325606
1981-03-31,4.1263819853
1981-04-30,3.6121414618
1981-05-29,2.8731259015
1981-06-30,3.4542484477
1981-07-31,3.1819289216
1981-08-31,3.9593565298
1981-09-30,4.5923375995
1981-10-30,4.6813217995
1981-11-30,4.3663205853
1981-12-31,4.589745257
1982-01-29,4.4272590199
1982-02-26,4.2224058318
1982-03-31,3.7816307999
1982-04-30,3.7899546566
1982-05-28,4.2703304259
1982-06-30,3.9814071279
1982-07-30,4.4996336952
1982-08-31,4.3965823606
1982-09-30,4.1145591862
1982-10-29,3.5980849923
1982-11-30,3.753426021
1982-12-31,3.5578375875
1983-01-31,4.0644427252
1983-02-28,3.6093325312
1983-03-31,3.6090113483
1983-04-29,3.573092625
1983-05-31,3.7090644084
1983-06-30,3.6777616757
1983-07-29,4.1611252053
1983-08-31,4.2431866803
1983-09-30,4.0699828186
1983-10-31,4.3713014546
1983-11-30,4.0796279849
1983-12-30,4.2248588171
1984-01-31,4.1657864011
1984-02-29,4.3366850114
1984-03-30,4.4117195562
1984-04-30,4.633110961
1984-05-31,5.2107517893
1984-06-29,5.0452307306
1984-07-31,4.4227140531
1984-08-31,4.0291947758
1984-09-28,3.8604834295
1984-10-31,3.8324149835
1984-11-30,4.1161717227
1984-12-31,4.4786429782
1985-01-31,4.0196351064
1985-02-28,4.4566696462
