Date,Adj Close,Close
01/31/1980,21.4045677348,21.4045677348
02/29/1980,21.4045677348,21.4045677348
03/31/1980,21.4045677348,21.4045677348
04/30/1980,21.4045677348,21.4045677348
05/31/1980,21.4045677348,21.4045677348
06/30/1980,21.4045677348,21.4045677348
07/31/1980,21.4045677348,21.4045677348
08/31/1980,21.4045677348,21.4045677348
09/30/1980,21.4045677348,21.4045677348
10/31/1980,21.4045677348,21.4045677348
11/30/1980,21.4045677348,21.4045677348
12/31/1980,21.4045677348,21.4045677348
01/31/1981,21.7491812753,21.7491812753
02/28/1981,22.8365333162,22.8365333162
03/31/1981,22.564695306,22.564695306
04/30/1981,23.4487039534,23.4487039534
05/31/1981,22.4619533809,22.4619533809
06/30/1981,22.3527900854,22.3527900854
07/31/1981,21.2311907361,21.2311907361
08/31/1981,21.194802971,21.194802971
09/30/1981,22.5411502815,22.5411502815
10/31/1981,21.7620240159,21.7620240159
11/30/1981,23.7505083585,23.7505083585
12/31/1981,23.7419465314,23.7419465314
01/31/1982,24.2256897622,24.2256897622
02/28/1982,24.3605385389,24.3605385389
03/31/1982,25.1118388664,25.1118388664
04/30/1982,25.5399302211,25.5399302211
05/31/1982,25.1311029774,25.1311029774
06/30/1982,26.1499604015,26.1499604015
07/31/1982,27.1730987393,27.1730987393
08/31/1982,28.0207196216,28.0207196216
09/30/1982,29.1829876496,29.1829876496
10/31/1982,29.9150238661,29.9150238661
11/30/1982,30.2681992337,30.2681992337
12/31/1982,31.8778227274,31.8778227274
01/31/1983,33.1085853721,33.1085853721
02/28/1983,34.262291573,34.262291573
03/31/1983,37.1326441063,37.1326441063
04/30/1983,37.815449817,37.815449817
05/31/1983,39.1682184978,39.1682184978
06/30/1983,38.3355808129,38.3355808129
07/31/1983,38.108692395,38.108692395
08/31/1983,38.1729060982,38.1729060982
09/30/1983,34.8466362722,34.8466362722
10/31/1983,35.6193411674,35.6193411674
11/30/1983,34.7652989148,34.7652989148
12/31/1983,34.782422569,34.782422569
01/31/1984,34.1038977718,34.1038977718
02/29/1984,33.8449025022,33.8449025022
03/31/1984,33.7036323551,33.7036323551
04/30/1984,32.66551082,32.66551082
05/31/1984,33.0679166934,33.0679166934
06/30/1984,34.3265052762,34.3265052762
07/31/1984,34.7760011987,34.7760011987
08/31/1984,35.4202786875,35.4202786875
09/30/1984,36.4134506304,36.4134506304
10/31/1984,36.9977953295,36.9977953295
11/30/1984,37.6035445964,37.6035445964
12/31/1984,38.1707656414,38.1707656414
01/31/1985,38.1236755924,38.1236755924
02/28/1985,38.4147777136,38.4147777136
03/31/1985,38.7058798348,38.7058798348
04/30/1985,40.6001840793,40.6001840793
05/31/1985,41.1288769023,41.1288769023
06/30/1985,40.9340953359,40.9340953359
07/31/1985,41.1481410133,41.1481410133
08/31/1985,40.6494145851,40.6494145851
09/30/1985,41.8480703782,41.8480703782
10/31/1985,45.2835034996,45.2835034996
11/30/1985,45.6666452621,45.6666452621
12/31/1985,46.6576767482,46.6576767482
01/31/1986,51.0028039984,51.0028039984
02/28/1986,54.6865301055,54.6865301055
03/31/1986,56.1077934031,56.1077934031
04/30/1986,56.572272523,56.572272523
05/31/1986,58.3552730153,58.3552730153
06/30/1986,56.6065198313,56.6065198313
07/31/1986,59.8728568677,59.8728568677
08/31/1986,56.5016374494,56.5016374494
09/30/1986,56.0157537619,56.0157537619
10/31/1986,57.1394935679,57.1394935679
11/30/1986,54.2520173805,54.2520173805
12/31/1986,59.3163381066,59.3163381066
01/31/1987,62.4820736745,62.4820736745
02/28/1987,64.4919625848,64.4919625848
03/31/1987,65.7698152786,65.7698152786
04/30/1987,65.7120229457,65.7120229457
05/31/1987,68.3083970119,68.3083970119
06/30/1987,72.2468374751,72.2468374751
07/31/1987,75.5410004495,75.5410004495
